기준연도,route_number,route_number_normalized,seoul_route_id,route_type_code,endpoints,authorized_bus_count,low_floor_bus_count,low_floor_bus_rate,has_low_floor_bus,accessibility_status,stop_count,has_stop_sequence,congestion_data_available,congestion_row_count,max_low_floor_bus_load_per_bus,p95_low_floor_bus_load_per_bus,peak_load_hour,peak_load_stop_name,peak_load_direction,has_top25_low_floor_congestion,route_metadata_basis,ridership_basis
2025,01A,01A,100100001,5,예장주차장 - 예장주차장,15,15,1.0,1,available,25,1,1,912,4536.2,3520.62,20,남산서울타워(00009),예장주차장,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,01B,01B,106000004,5,예장주차장 - 예장주차장,7,7,1.0,1,available,15,1,1,984,7452.29,4797.03,15,남산예장버스환승주차장(00001),예장주차장,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,040,040,104000014,3,용산공영차고지 - 개포동,15,9,0.6,1,available,85,1,1,2304,4074.56,2143.01,7,내방역1번출구(00029),개포동,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,0411,0411,104000012,4,용산차고지 - AT센터.양재꽃시장,22,21,0.9545,1,available,96,1,1,3192,2030.19,1125.51,10,효창공원앞역.이봉창역사울림관(00083),용산차고지,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,100,100,100100549,3,하계동 - 용산구청,29,29,1.0,1,available,122,1,1,3168,2445.79,1613.18,7,창문여고앞(00022),용산구청,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,101,101,100100006,3,우이동 - 서소문,31,19,0.6129,1,available,81,1,1,2328,5218.95,2916.56,8,도봉구보건소앞(00012),서소문,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,102,102,100100007,3,상계주공7단지 - 동대문,20,20,1.0,1,available,67,1,1,1800,4099.1,2642.52,8,북부시장입구(00018),동대문,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1020,1020,100100131,4,정릉 - 교보문고,15,5,0.3333,1,available,54,1,1,1368,12941.4,7614.26,16,신교동(00022),교보문고,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,105,105,100100010,3,상계주공7단지 - 숭례문,18,18,1.0,1,available,86,1,1,2448,3668.83,2169.97,7,삼육서울병원(00024),숭례문,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,107,107,100100012,3,민락동차고지 - 종로5가,25,24,0.96,1,available,120,1,1,3000,3808.62,1443.3,7,장암주공2단지.장암우성아파트(00030),종로5가,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,109,109,100100014,3,우이동 - 광화문,14,13,0.9286,1,available,64,1,1,1776,3175.54,1669.67,7,길음동동부아파트(00019),광화문,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,110A,110A,100100016,,정릉북한산국립공원입구 - 정릉북한산국립공원입구,44,27,0.6136,1,available,88,1,1,2256,2551.56,1812.45,18,순천향대학병원(00035),정릉,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,110B,110B,100100015,,정릉북한산국립공원입구 - 정릉북한산국립공원입구,44,27,0.6136,1,available,91,1,1,2304,3188.89,2000.85,16,연희교차로(00031),정릉,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,111,111,104000009,3,민락동차고지 - 동대문,13,7,0.5385,1,available,116,1,1,3072,5521.57,2781.71,7,만가대사거리(00018),동대문,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1111,1111,100100132,4,번동 - 성북동,17,16,0.9412,1,available,77,1,1,2256,3459.44,1964.09,7,장위3동주민센터(00010),성북동,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1112,1112,107000007,4,정릉4동 - 성북동,12,11,0.9167,1,available,62,1,1,1728,2689.27,1571.9,7,성암국제무역고등학교(00009),성북동,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1113,1113,100100133,4,정릉 - 월곡동,5,0,0.0,0,unavailable,34,1,0,0,,,,,,0,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1115,1115,100100566,4,수유중학교혜화여고 - 미아삼거리역,6,6,1.0,1,available,30,1,1,792,4802.33,2806.1,7,미아초교(00011),미아삼거리역,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1116,1116,107000001,4,국민대학교 - 미아삼거리역,5,0,0.0,0,unavailable,30,1,0,0,,,,,,0,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1120,1120,100100138,4,하계동 - 삼양동입구,14,14,1.0,1,available,85,1,1,2496,2495.0,1229.27,18,서울북부지방법원등기국(00016),삼양동입구,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1124,1124,100100139,4,수유역 - 미아삼거리역,6,1,0.1667,1,available,37,1,1,984,36766.0,13544.5,7,경남아너스빌.꿈의숲해링턴아파트(00012),미아삼거리역,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1127,1127,100100143,4,수유역 - 도봉산,9,9,1.0,1,available,60,1,1,1608,3731.11,1584.46,7,태영데시앙아파트(00027),도봉산,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1128,1128,100100144,4,도봉산 - 월곡동,14,14,1.0,1,available,81,1,1,2184,3536.64,1565.87,7,강북중학교(00021),월곡동,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1132,1132,100100148,4,월계동 - 노원역,17,14,0.8235,1,available,65,1,1,2064,5630.43,3230.47,18,노원역1번출구(00035),노원역,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1135,1135,100100150,4,월계동 - 은행사거리,10,8,0.8,1,available,59,1,1,1872,7023.62,2274.67,18,중계역2번출구(00024),은행사거리,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1138,1138,100100153,4,상계4동 - 수유역,7,7,1.0,1,available,52,1,1,2232,3936.14,1888.38,7,태영데시앙아파트(00023),수유역,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1139,1139,100100154,4,상계4동 - 방학3동주민센터,11,11,1.0,1,available,72,1,1,2064,3212.64,1665.07,7,상계119안전센터(00009),방학3동주민센터,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1140,1140,100100155,4,중계동 - 광운대,5,5,1.0,1,available,49,1,1,1320,4112.2,2245.84,18,상계역3번출구(00015),광운대,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1144,1144,100100159,4,하계동 - 우이동,9,1,0.1111,1,available,61,1,1,1536,32631.0,12022.75,7,서울문화고등학교(00042),하계동,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1154,1154,100100164,4,하계동 - 신곡동,11,11,1.0,1,available,57,1,1,1392,5858.09,3281.18,7,장암주공2단지.장암우성아파트(00037),하계동,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1155,1155,,,,,,,,unknown,0,0,0,0,,,,,,0,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1165,1165,100100172,4,화계사 - 미아삼거리역,22,20,0.9091,1,available,66,1,1,1728,2921.75,1738.19,8,광산사거리(00011),미아삼거리역,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,1167,1167,108000002,4,우이동 - 은행사거리,13,3,0.2308,1,available,51,1,1,1272,18743.0,12586.12,8,오봉초등학교(00008),은행사거리,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
2025,120,120,100100017,3,우이동 - 청량리,32,22,0.6875,1,available,90,1,1,3720,3736.73,2644.3,18,성북구보건소(00069),우이동,1,data/raw/bus/all_bus_routes.json,data/processed/bus/버스_저상노선_시간대별_추정재차인원_혼잡도_2025.csv
