odsay_bus_id,odsay_bus_no,odsay_bus_type,route_number_normalized,validation_date,evidence
755,101,11,101,2026-09-12,live_odsay_bus_path_sample
772,105,11,105,2026-09-12,live_odsay_bus_path_sample
790,110B,11,110B,2026-09-12,live_odsay_bus_path_sample
802,1120,12,1120,2026-09-12,live_odsay_bus_path_sample
1414,1127,12,1127,2026-09-12,live_odsay_bus_path_sample
821,1138,12,1138,2026-09-12,live_odsay_bus_path_sample
822,1139,12,1139,2026-09-12,live_odsay_bus_path_sample
827,1144,12,1144,2026-09-12,live_odsay_bus_path_sample
635,1167,12,1167,2026-09-12,live_odsay_bus_path_sample
868,140,11,140,2026-09-12,live_odsay_bus_path_sample
871,142,11,142,2026-09-12,live_odsay_bus_path_sample
873,144,11,144,2026-09-12,live_odsay_bus_path_sample
875,146,11,146,2026-09-12,live_odsay_bus_path_sample
878,150,11,150,2026-09-12,live_odsay_bus_path_sample
1449,160,11,160,2026-09-12,live_odsay_bus_path_sample
1447,260,11,260,2026-09-12,live_odsay_bus_path_sample
988,270,11,270,2026-09-12,live_odsay_bus_path_sample
989,271,11,271,2026-09-12,live_odsay_bus_path_sample
941,273,11,273,2026-09-12,live_odsay_bus_path_sample
1028,3412,12,3412,2026-09-12,live_odsay_bus_path_sample
1440,360,11,360,2026-09-12,live_odsay_bus_path_sample
1044,370,11,370,2026-09-12,live_odsay_bus_path_sample
500,400,11,400,2026-09-12,live_odsay_bus_path_sample
1048,401,11,401,2026-09-12,live_odsay_bus_path_sample
1050,402,11,402,2026-09-12,live_odsay_bus_path_sample
1054,420,11,420,2026-09-12,live_odsay_bus_path_sample
1808,421,11,421,2026-09-12,live_odsay_bus_path_sample
1357,452,11,452,2026-09-12,live_odsay_bus_path_sample
1071,470,11,470,2026-09-12,live_odsay_bus_path_sample
1073,472,11,472,2026-09-12,live_odsay_bus_path_sample
1089,501,11,501,2026-09-12,live_odsay_bus_path_sample
1094,505,11,505,2026-09-12,live_odsay_bus_path_sample
1405,506,11,506,2026-09-12,live_odsay_bus_path_sample
1443,5618,12,5618,2026-09-12,live_odsay_bus_path_sample
1450,600,11,600,2026-09-12,live_odsay_bus_path_sample
1171,605,11,605,2026-09-12,live_odsay_bus_path_sample
1186,640,11,640,2026-09-12,live_odsay_bus_path_sample
1187,641,11,641,2026-09-12,live_odsay_bus_path_sample
1190,650,11,650,2026-09-12,live_odsay_bus_path_sample
1193,6512,12,6512,2026-09-12,live_odsay_bus_path_sample
1195,6514,12,6514,2026-09-12,live_odsay_bus_path_sample
521,6515,12,6515,2026-09-12,live_odsay_bus_path_sample
549,662,11,662,2026-09-12,live_odsay_bus_path_sample
1259,721,11,721,2026-09-12,live_odsay_bus_path_sample
1072,741,11,741,2026-09-12,live_odsay_bus_path_sample
1718,750A,11,750A,2026-09-12,live_odsay_bus_path_sample
1274,750B,11,750B,2026-09-12,live_odsay_bus_path_sample
2811584,N31,11,N31,2026-09-12,live_odsay_bus_path_sample
2811224,N72,11,N72,2026-09-12,live_odsay_bus_path_sample
2811585,N73,11,N73,2026-09-12,live_odsay_bus_path_sample
2811223,N75,11,N75,2026-09-12,live_odsay_bus_path_sample
