사용월,노선명,역명,역명정규화,station_key,운행엘리베이터보유여부,운행엘리베이터수,엘리베이터연결층,엘리베이터설치위치,운행휠체어리프트보유여부,운행휠체어리프트수,휠체어리프트운행구간,휠체어리프트설치위치,안전발판보유여부,안전발판수,휠체어접근가능화장실보유여부,장애인화장실설치위치,장애인화장실층
2025-12,1호선,서울역,서울,1호선|서울,1,4,"외부#1 | 지하B1→지상1 | 2번 출입구; 내부#1 | 지하B2→지하B1 | 시청 방면5-1,남영 방면6-4; 외부#3 | 지하B1→지상1 | 3번 출입구; 외부#2 | 지하B1→지상1 | 4번 출입구","2번 출입구; 시청 방면5-1,남영 방면6-4; 3번 출입구; 4번 출입구",0,0,없음,없음,1,1,1,지하1층 2번 출입구 부근,B1
2025-12,1호선,시청,시청,1호선|시청,1,3,"외부#1 | 지하B1→지상1 | 1,2번 출입구 사이; 내부#1 | 지하B2→지하B1 | 종각 방면3-2; 내부#2 | 지하B2→지하B1 | 서울역 방면8-3","1,2번 출입구 사이; 종각 방면3-2; 서울역 방면8-3",0,0,없음,없음,1,1,1,지하1층 5번 출입구 부근,B1
2025-12,1호선,신설동,신설동,1호선|신설동,1,5,"내부#1 | 지하B2→지하B1 | 제기동 방면3-4; 내부#2 | 지하B2→지하B1 | 동묘앞 방면8-1; 외부#3 | 지하B1→지상1 | 4,5번 출입구 사이; 외부#2 | 지하B1→지상1 | 2,3번 출입구 사이; 외부#1 | 지하B1→지상1 | 12번 출입구","제기동 방면3-4; 동묘앞 방면8-1; 4,5번 출입구 사이; 2,3번 출입구 사이; 12번 출입구",1,4,내부1 | 지하B2→지하B1 | 제기동 방면측; 내부2 | 지하B2→지하B1 | 동묘앞 방면측; 내부3 | 지하B2→지하B1 | 연결통로(대합실 방면); 내부4 | 지하B2→지하B1 | 연결통로(대합실 방면),제기동 방면측; 동묘앞 방면측; 연결통로(대합실 방면),1,1,1,대합실(지하1층) 고객안전실 앞,B1
2025-12,2호선,강남,강남,2호선|강남,1,4,내부#1 | 지하B2→지하B1 | 역삼 방면8-1; 내부#2 | 지하B2→지하B1 | 교대 방면3-4; 외부#1 | 지하B1→지상1 | 1번 출입구; 외부#2 | 지하B1→지상1 | 10번 출입구,역삼 방면8-1; 교대 방면3-4; 1번 출입구; 10번 출입구,0,0,없음,없음,1,1,1,"1층 고객안전실(1,12번 출입구),개집표기 내부",B1
2025-12,2호선,건대입구,건대입구,2호선|건대입구,1,2,외부#1 | 지상1→지상3 | 6번 출입구; 내부#1 | 지상2→지상3 | 성수 방면5-4,6번 출입구; 성수 방면5-4,0,0,없음,없음,1,1,1,대합실 2층 통로 중앙,2
2025-12,2호선,교대(법원.검찰청),교대(법원.검찰청),2호선|교대(법원.검찰청),1,3,외부#1 | 지하B1→지상1 | 5번 출입구; 내부#1 | 지하B2→지하B1 | 강남 방면8-4; 내부#2 | 지하B2→지하B1 | 서초 방면3-1,5번 출입구; 강남 방면8-4; 서초 방면3-1,0,0,없음,없음,1,1,1,"대합실 1층 1,2,3,4,번 출입구 쪽",B1
2025-12,2호선,낙성대(강감찬),낙성대(강감찬),2호선|낙성대(강감찬),1,3,내부#2 | 지하B2→지하B1 | 서울대입구 방면3-3; 외부#1 | 지하B1→지상1 | 6번 출입구; 내부#1 | 지하B2→지하B1 | 사당 방면8-2,서울대입구 방면3-3; 6번 출입구; 사당 방면8-2,0,0,없음,없음,1,1,1,"대합실 1층 고객안내부스앞(3,4,5,6번 출입구쪽)",B1
2025-12,2호선,도림천,도림천,2호선|도림천,1,2,내부#1 | 지하B3→지하B2 | 신도림 방면4-4; 외부#1 | 지하B3→지하B1 | 양천구청 방면2-4,신도림 방면4-4; 양천구청 방면2-4,0,0,없음,없음,1,1,0,"지상1층, 고객안전실 옆(개집표기 외부)",1
2025-12,2호선,문래,문래,2호선|문래,1,4,내부#1 | 지하B2→지하B1 | 신도림 방면7-4; 내부#2 | 지하B2→지하B1 | 영등포구청 방면4-1; 외부#2 | 지하B1→지상1 | 1번 출입구; 외부#1 | 지하B1→지상1 | 5번 출입구,신도림 방면7-4; 영등포구청 방면4-1; 1번 출입구; 5번 출입구,0,0,없음,없음,1,1,1,"지하1층 대합실(개집표기 외부, 2,3번 출입구방향)",B1
2025-12,2호선,방배,방배,2호선|방배,1,3,내부#1 | 지하B2→지하B1 | 서초 방면8-3; 내부#2 | 지하B2→지하B1 | 사당 방면3-1; 외부#1 | 지하B1→지상1 | 3번 출입구,서초 방면8-3; 사당 방면3-1; 3번 출입구,0,0,없음,없음,1,1,1,"서초방면 대합실 끝(1,4번 출입구방향),개집표기 외부",B1
2025-12,2호선,봉천,봉천,2호선|봉천,1,2,"내부#1 | 지하B2→지하B1 | 서울대입구 방면6-3, 신림 방면5-1; 외부#1 | 지하B1→지상1 | 4번 출입구","서울대입구 방면6-3, 신림 방면5-1; 4번 출입구",0,0,없음,없음,1,1,1,"B1 아이센터 맞은편(1,6번 출입구)개집표기 외부",B1
2025-12,2호선,삼성(무역센터),삼성(무역센터),2호선|삼성(무역센터),1,5,"외부#2 | 지하B1→지상1 | 6번 출입구; 외부#4 | 지하B1→지상1 | 4번 출입구; 외부#1 | 지하B1→지상1 | 1번 출입구; 외부#3 | 지하B1→지상1 | 8번 출입구; 내부#1 | 지하B2→지하B1 | 종합운동장 방면3-1, 선릉 방면8-4","6번 출입구; 4번 출입구; 1번 출입구; 8번 출입구; 종합운동장 방면3-1, 선릉 방면8-4",0,0,내부1 | 지하B1→지하B1 | 코액스 측 연결계단,코액스 측 연결계단,1,1,1,대합실 1층 통로 중앙,B1
2025-12,2호선,상왕십리,상왕십리,2호선|상왕십리,1,3,외부#1 | 지하B1→지상1 | 1-1번 출입구; 내부#1 | 지하B2→지하B1 | 신당 방면8-1; 내부#2 | 지하B2→지하B1 | 왕십리 방면3-4,1-1번 출입구; 신당 방면8-1; 왕십리 방면3-4,0,0,없음,없음,1,1,1,"대합실 1층 5,6번 출입구 앞",B1
2025-12,2호선,서울대입구(관악구청),서울대입구(관악구청),2호선|서울대입구(관악구청),1,3,"외부#1 | 지하B1→지상1 | 6번 출입구; 내부#1 | 지하B2→지하B1 | 봉천 방면5-2, 낙성대 방면6-3; 외부#2 | 지하B1→지상1 | 2번 출입구","6번 출입구; 봉천 방면5-2, 낙성대 방면6-3; 2번 출입구",0,0,없음,없음,1,1,1,"대합실 1층 (7,8번 출입구쪽)",B1
2025-12,2호선,서초,서초,2호선|서초,1,4,"외부#2 | 지하B1→지상1 | 3,4번 출입구; 내부#1 | 지하B2→지하B1 | 교대 방면2-4; 내부#2 | 지하B2→지하B1 | 방배 방면9-1; 외부#1 | 지하B1→지상1 | 1번 출입구","3,4번 출입구; 교대 방면2-4; 방배 방면9-1; 1번 출입구",0,0,없음,없음,1,1,1,"교대방면 대합실(1,2,7,8번 출입구),개집표기 외부",B1
2025-12,2호선,선릉,선릉,2호선|선릉,1,3,외부#1 | 지하B1→지상1 | 1번 출입구; 외부#2 | 지하B1→지상1 | 5번 출입구; 외부#3 | 지하B1→지상1 | 10번 출입구,1번 출입구; 5번 출입구; 10번 출입구,0,0,없음,없음,1,1,1,대합실 1층 1번 출입구 앞,B1
2025-12,2호선,시청,시청,2호선|시청,1,2,"외부#1 | 지하B1→지상1 | 9번 출입구; 내부#1 | 지하B3→지하B1 | 충정로 방면6-2, 을지로입구 방면5-3","9번 출입구; 충정로 방면6-2, 을지로입구 방면5-3",0,0,없음,없음,1,1,1,"지하2층 환승통로; 지하1층 9,10번 출입구 옆",B2; B1
2025-12,2호선,신답,신답,2호선|신답,1,2,내부#1 | 지상1→지상2 | 용두 방면2-4; 내부#2 | 지상1→지상2 | 용답 방면3-2,용두 방면2-4; 용답 방면3-2,0,0,없음,없음,1,1,1,1층 대합실,1
