목적구,행정동,콜택시_의료목적지_건수,병원,보건소,보건지소,상급종합병원,요양병원,의원,정신병원,종합병원,한의원,P1_의료기관_합계,P2_의료기관_합계,의료기관_총수
강남구,개포1동,1,0,0,0,0,0,1,0,0,0,1,0,1
강남구,개포2동,218,0,0,0,0,0,30,0,0,15,30,15,45
강남구,개포3동,309,0,0,0,0,0,12,0,0,5,12,5,17
강남구,개포4동,4,0,0,0,0,0,19,0,0,8,19,8,27
강남구,논현1동,48,6,0,0,0,0,264,0,0,27,270,27,297
강남구,논현2동,121,5,0,0,0,0,137,0,0,24,142,24,166
강남구,대치1동,316,0,0,0,0,0,65,0,0,21,65,21,86
강남구,대치2동,64,1,0,0,0,0,42,0,0,20,43,20,63
강남구,대치4동,134,2,0,0,0,0,50,0,0,18,52,18,70
강남구,도곡1동,979,3,0,0,1,1,49,0,1,19,55,19,74
강남구,도곡2동,19,0,0,0,0,0,31,0,0,11,31,11,42
강남구,삼성1동,288,4,0,0,0,0,56,0,0,11,60,11,71
강남구,삼성2동,91,0,1,0,0,0,60,0,0,25,60,26,86
강남구,세곡동,281,0,0,0,0,2,21,0,0,8,23,8,31
강남구,수서동,467,0,0,0,0,0,25,0,0,7,25,7,32
강남구,신사동,53,0,0,0,0,0,336,0,0,33,336,33,369
강남구,압구정동,62,4,0,0,0,2,255,0,0,42,261,42,303
강남구,역삼1동,519,2,0,0,0,0,373,0,1,49,376,49,425
강남구,역삼2동,39,1,0,0,0,0,81,0,0,15,82,15,97
강남구,일원1동,246,0,0,0,0,0,16,0,0,8,16,8,24
강남구,일원본동,883,0,0,0,1,0,10,0,0,2,11,2,13
강남구,청담동,145,4,0,0,0,1,245,0,0,29,250,29,279
강동구,강일동,120,0,0,0,0,0,20,0,0,7,20,7,27
강동구,고덕1동,1465,0,0,0,0,0,6,0,0,3,6,3,9
강동구,고덕2동,63,0,0,0,0,1,26,0,0,6,27,6,33
강동구,길동,1355,6,0,0,0,0,60,0,1,24,67,24,91
강동구,둔촌2동,3169,0,0,0,0,1,9,0,1,7,11,7,18
강동구,명일1동,266,1,0,0,0,0,35,0,0,21,36,21,57
강동구,명일2동,188,0,0,0,0,0,29,0,0,10,29,10,39
강동구,상일1동,1546,0,0,0,0,0,8,0,1,4,9,4,13
강동구,성내1동,93,2,1,0,0,0,10,0,0,8,12,9,21
강동구,성내2동,124,4,0,0,0,0,35,0,0,13,39,13,52
강동구,성내3동,51,2,0,0,0,0,54,0,0,27,56,27,83
강동구,암사1동,221,0,0,0,0,0,19,0,0,12,19,12,31
강동구,암사2동,7,0,0,0,0,0,18,0,0,6,18,6,24
강동구,천호1동,187,0,0,0,0,0,16,0,0,10,16,10,26
강동구,천호2동,612,1,0,0,0,3,74,0,0,21,78,21,99
강동구,천호3동,225,2,0,0,0,0,28,0,0,9,30,9,39
강북구,미아동,222,2,0,0,0,0,28,0,0,10,30,10,40
강북구,번1동,251,0,0,0,0,1,31,0,1,8,33,8,41
강북구,번2동,689,0,1,0,0,0,6,0,0,3,6,4,10
강북구,번3동,114,0,0,0,0,1,7,0,0,5,8,5,13
강북구,삼각산동,14,0,0,0,0,0,15,0,0,5,15,5,20
강북구,삼양동,38,0,0,0,0,0,25,0,0,8,25,8,33
강북구,송중동,76,1,0,0,0,0,36,0,0,9,37,9,46
강북구,송천동,214,2,0,0,0,2,16,0,0,15,20,15,35
강북구,수유1동,118,0,0,0,0,0,11,0,0,6,11,6,17
강북구,수유2동,102,0,0,0,0,0,16,0,0,5,16,5,21
강북구,수유3동,99,1,0,0,0,0,36,0,0,10,37,10,47
강북구,우이동,116,0,0,0,0,0,6,0,0,3,6,3,9
강북구,인수동,1526,2,0,0,0,0,7,0,1,8,10,8,18
강서구,가양1동,601,2,0,0,0,0,63,0,0,25,65,25,90
강서구,가양2동,496,0,0,0,0,0,22,0,0,6,22,6,28
강서구,가양3동,59,0,0,0,0,0,4,0,0,2,4,2,6
강서구,공항동,29,0,0,0,0,0,22,0,1,4,23,4,27
강서구,등촌1동,342,1,0,0,0,0,23,0,0,10,24,10,34
강서구,등촌2동,177,1,0,0,0,0,6,0,0,5,7,5,12
강서구,등촌3동,737,3,0,0,0,1,30,0,1,13,35,13,48
강서구,발산1동,1230,4,0,0,0,0,62,0,2,19,68,19,87
강서구,방화1동,1972,2,0,0,0,0,46,0,0,18,48,18,66
강서구,방화2동,287,1,0,0,0,0,11,0,0,4,12,4,16
강서구,방화3동,36,0,0,0,0,0,6,0,0,5,6,5,11
강서구,염창동,66,1,1,0,0,1,26,0,0,11,28,12,40
강서구,우장산동,735,2,0,0,0,1,30,0,0,16,33,16,49
강서구,화곡1동,119,1,0,0,0,0,42,1,0,17,43,18,61
강서구,화곡2동,23,0,0,0,0,0,6,0,0,6,6,6,12
강서구,화곡3동,33,1,0,0,0,0,24,0,0,12,25,12,37
강서구,화곡4동,39,1,0,0,0,1,18,0,0,9,20,9,29
강서구,화곡6동,297,0,0,0,0,0,15,0,0,8,15,8,23
강서구,화곡8동,6,0,0,0,0,0,18,0,0,9,18,9,27
강서구,화곡본동,11,0,0,0,0,0,15,0,0,6,15,6,21
관악구,낙성대동,644,1,0,0,0,0,27,0,0,6,28,6,34
관악구,난곡동,71,0,0,0,0,0,19,0,0,6,19,6,25
관악구,난향동,5,0,0,0,0,0,4,0,0,3,4,3,7
관악구,남현동,11,0,0,0,0,0,18,0,0,7,18,7,25
관악구,대학동,23,0,0,0,0,0,12,0,0,4,12,4,16
관악구,미성동,35,1,0,0,0,0,16,0,0,6,17,6,23
관악구,보라매동,1129,0,0,0,0,0,12,0,0,6,12,6,18
관악구,삼성동,4,0,0,0,0,0,6,0,0,5,6,5,11
관악구,서림동,51,0,0,0,0,0,8,0,0,4,8,4,12
관악구,서원동,704,2,0,0,0,0,17,0,1,5,20,5,25
관악구,성현동,8,0,0,0,0,0,6,0,0,6,6,6,12
관악구,신림동,435,0,0,0,0,1,38,0,0,9,39,9,48
관악구,신사동,82,1,0,0,0,0,10,0,0,5,11,5,16
관악구,신원동,24,0,0,0,0,0,8,0,0,6,8,6,14
관악구,은천동,142,1,0,0,0,0,13,0,0,9,14,9,23
관악구,인헌동,2,0,0,0,0,0,22,0,0,10,22,10,32
관악구,조원동,15,1,0,0,0,0,19,0,0,7,20,7,27
관악구,중앙동,447,0,0,0,0,0,39,0,0,8,39,8,47
관악구,청룡동,321,1,1,0,0,1,29,0,0,10,31,11,42
관악구,청림동,3,0,0,0,0,0,3,0,0,2,3,2,5
관악구,행운동,88,3,0,0,0,0,30,0,0,14,33,14,47
광진구,광장동,170,0,0,0,0,0,15,0,0,6,15,6,21
광진구,구의1동,38,0,0,0,0,0,19,0,0,4,19,4,23
광진구,구의2동,1014,1,0,0,0,0,14,0,0,10,15,10,25
광진구,구의3동,187,0,0,0,0,0,35,0,0,9,35,9,44
광진구,군자동,31,0,0,0,0,0,20,0,0,8,20,8,28
광진구,능동,15,2,0,0,0,0,8,0,0,6,10,6,16
광진구,자양1동,532,0,0,0,0,0,31,0,1,20,32,20,52
광진구,자양2동,36,0,1,0,0,1,15,0,0,4,16,5,21
광진구,자양3동,4,0,0,0,0,0,17,0,0,6,17,6,23
광진구,자양4동,60,1,0,0,0,0,30,0,0,12,31,12,43
광진구,중곡1동,23,0,0,0,0,0,20,0,0,3,20,3,23
광진구,중곡2동,259,0,0,0,0,0,30,0,0,9,30,9,39
광진구,중곡3동,305,0,0,0,0,0,11,1,0,7,11,8,19
광진구,중곡4동,18,0,0,0,0,0,13,0,0,7,13,7,20
광진구,화양동,1003,0,0,0,1,1,36,0,0,9,38,9,47
구로구,가리봉동,113,0,0,0,0,2,3,0,0,2,5,2,7
구로구,개봉1동,261,0,0,0,0,2,17,1,0,10,19,11,30
구로구,개봉2동,12,0,0,0,0,0,22,0,0,9,22,9,31
구로구,개봉3동,7,0,0,0,0,0,11,0,0,3,11,3,14
구로구,고척1동,376,1,0,0,0,1,23,0,1,8,26,8,34
구로구,고척2동,22,3,0,0,0,0,18,0,0,5,21,5,26
구로구,구로1동,2,0,0,0,0,0,6,0,0,4,6,4,10
구로구,구로2동,1769,1,0,0,1,0,34,0,0,5,36,5,41
구로구,구로3동,199,1,0,0,0,0,39,0,0,15,40,15,55
구로구,구로4동,19,0,0,0,0,0,25,0,0,15,25,15,40
구로구,구로5동,316,3,1,0,0,1,29,0,0,7,33,8,41
구로구,수궁동,28,0,0,0,0,0,4,0,0,3,4,3,7
구로구,신도림동,184,0,0,0,0,0,36,0,0,12,36,12,48
