목적구,콜택시_의료목적지_건수,병원,보건소,보건지소,상급종합병원,요양병원,의원,정신병원,종합병원,한의원,P1_의료기관_합계,P2_의료기관_합계,의료기관_총수,병원급_총수(의원/한의원제외),병상보고기관수,중환자실병상수,격리병실병상수,총병상수,그룹1_총수,그룹2_총수,의사수_총합,그룹1_의사수,그룹2_의사수,기관당_평균의사수,정형외과_보유기관수_5종모집단,정형외과_전문의수_총합_5종모집단,재활의학과_보유기관수_5종모집단,재활의학과_전문의수_총합_5종모집단,신경과_보유기관수_5종모집단,신경과_전문의수_총합_5종모집단,신경외과_보유기관수_5종모집단,신경외과_전문의수_총합_5종모집단,안과_보유기관수_5종모집단,안과_전문의수_총합_5종모집단,이비인후과_보유기관수_5종모집단,이비인후과_전문의수_총합_5종모집단,정신건강의학과_보유기관수_5종모집단,정신건강의학과_전문의수_총합_5종모집단,소아청소년과_보유기관수_5종모집단,소아청소년과_전문의수_총합_5종모집단,내과_보유기관수_5종모집단,내과_전문의수_총합_5종모집단,심장혈관흉부외과_보유기관수_5종모집단,심장혈관흉부외과_전문의수_총합_5종모집단,성형외과_보유기관수_5종모집단,성형외과_전문의수_총합_5종모집단,구강악안면외과_보유기관수_5종모집단,구강악안면외과_전문의수_총합_5종모집단,외과_보유기관수_5종모집단,외과_전문의수_총합_5종모집단,비뇨의학과_보유기관수_5종모집단,비뇨의학과_전문의수_총합_5종모집단
강남구,5287,32,1,0,2,6,2178,0,2,397,2220,398,2618,43,5.0,336.0,60.0,396.0,1,42,2283,10,2273,53.093023255813954,27,97,17,30,19,58,24,88,4,56,7,45,5,21,12,96,34,328,6,31,9,34,4,8,20,140,8,32
강동구,9692,18,1,0,0,5,483,0,3,197,509,198,707,27,8.0,167.0,342.0,509.0,1,26,1025,8,1017,37.96296296296296,13,57,13,26,12,26,11,27,4,26,4,16,4,12,5,20,24,190,3,9,5,7,2,4,10,44,3,18
강북구,3579,8,1,0,0,4,240,0,2,95,254,96,350,15,4.0,24.0,4.0,28.0,1,14,151,9,142,10.066666666666666,8,13,6,13,7,3,7,7,1,0,1,0,2,1,2,4,15,21,0,0,1,1,0,0,6,12,2,0
강서구,7295,20,1,0,0,4,489,1,4,205,517,207,724,30,6.0,131.0,13.0,144.0,2,28,594,13,581,19.8,16,77,13,20,6,17,13,33,2,15,2,10,1,4,7,37,22,99,1,11,2,4,1,2,10,34,3,6
관악구,4244,11,1,0,0,2,356,0,1,138,370,139,509,15,2.0,26.0,5.0,31.0,1,14,185,11,174,12.333333333333334,12,26,8,6,5,6,11,9,0,0,1,1,1,1,2,5,12,34,1,0,1,1,0,0,7,15,2,2
광진구,3695,4,1,0,1,2,314,1,1,120,322,122,444,10,4.0,97.0,50.0,147.0,2,8,514,46,468,51.4,7,23,5,8,5,13,6,10,1,6,2,8,1,5,1,9,8,80,3,5,1,4,1,1,4,19,2,4
구로구,3393,10,1,1,1,7,309,1,1,117,328,120,448,22,6.0,129.0,12.0,141.0,3,19,727,9,718,33.04545454545455,10,24,12,17,9,17,12,23,2,10,5,8,4,9,5,45,16,102,3,8,4,8,1,3,13,43,7,8
금천구,1295,5,1,0,0,3,173,1,1,74,182,76,258,11,2.0,19.0,4.0,23.0,2,9,97,13,84,8.818181818181818,7,14,5,6,4,2,6,7,0,0,0,0,1,1,0,0,9,10,1,0,0,0,0,0,2,4,0,0
노원구,11531,5,1,1,0,7,398,0,3,146,413,148,561,17,6.0,124.0,311.0,435.0,2,15,671,9,662,39.47058823529412,13,42,11,10,10,18,11,19,4,12,4,12,4,14,7,20,14,100,4,7,4,6,3,2,10,39,6,11
도봉구,3164,4,1,0,0,6,176,2,1,84,187,87,274,14,1.0,24.0,8.0,32.0,3,11,199,16,183,14.214285714285714,4,18,9,8,7,12,6,4,2,2,1,1,2,1,3,5,10,34,1,1,1,3,0,0,5,7,1,2
