ykiho,dgsbjtCd,dgsbjtCdNm,dgsbjtPrSdrCnt,cdiagDrCnt,yadmNm,clCdNm,sgguCdNm
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQwMyQ0NjEwMDIjNTEjJDEjJDIjJDgz,1,내과,4,0,(의)가산의료재단 광동병원,병원,강남구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQwMyQ0NjEwMDIjNTEjJDEjJDIjJDgz,2,신경과,1,0,(의)가산의료재단 광동병원,병원,강남구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQwMyQ0NjEwMDIjNTEjJDEjJDIjJDgz,5,정형외과,0,0,(의)가산의료재단 광동병원,병원,강남구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQwMyQ0NjEwMDIjNTEjJDEjJDIjJDgz,6,신경외과,0,0,(의)가산의료재단 광동병원,병원,강남구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQwMyQ0NjEwMDIjNTEjJDEjJDIjJDgz,16,영상의학과,1,0,(의)가산의료재단 광동병원,병원,강남구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQwMyQ0NjEwMDIjNTEjJDEjJDIjJDgz,21,재활의학과,1,0,(의)가산의료재단 광동병원,병원,강남구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQwMyQ0NjEwMDIjNTEjJDEjJDIjJDgz,23,가정의학과,1,0,(의)가산의료재단 광동병원,병원,강남구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQwMyQ0NjEwMDIjNTEjJDEjJDIjJDgz,80,한방내과,1,0,(의)가산의료재단 광동병원,병원,강남구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQwMyQ0NjEwMDIjNTEjJDEjJDIjJDgz,87,사상체질과,1,0,(의)가산의료재단 광동병원,병원,강남구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz,1,내과,0,0,123스텝업병원,병원,강동구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz,5,정형외과,2,0,123스텝업병원,병원,강동구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz,6,신경외과,1,0,123스텝업병원,병원,강동구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz,9,마취통증의학과,0,0,123스텝업병원,병원,강동구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz,16,영상의학과,1,0,123스텝업병원,병원,강동구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,4,외과,1,0,365엠씨(mc)병원,병원,서초구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,8,성형외과,1,0,365엠씨(mc)병원,병원,서초구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,14,피부과,0,0,365엠씨(mc)병원,병원,서초구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,23,가정의학과,11,0,365엠씨(mc)병원,병원,서초구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ5OSQzNjE0ODEjODEjJDEjJDIjJDgz,1,내과,1,0,9988병원,병원,성동구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ5OSQzNjE0ODEjODEjJDEjJDIjJDgz,5,정형외과,2,0,9988병원,병원,성동구
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzQxIyQxIyQ3IyQ5OSQzNjE0ODEjODEjJDEjJDIjJDgz,6,신경외과,0,0,9988병원,병원,성동구
