요양기관명,시도명,시군구명,요양기관종별,표시과목,주소,중환자실 병상수 소계,성인 중환자실 병상수,소아 중환자실 병상수,신생아 중환자실 병상수,격리병실 병상수
서울대학교병원,서울특별시,종로구,상급종합병원,해당사항없음,서울특별시 종로구 대학로 101 (연건동),170,106,24,40,7
강북삼성병원,서울특별시,종로구,상급종합병원,해당사항없음,서울특별시 종로구 새문안로 29 (평동),64,53,0,11,12
서울적십자병원,서울특별시,종로구,종합병원,해당사항없음,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",12,12,0,0,6
국립중앙의료원,서울특별시,중구,종합병원,해당사항없음,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",55,55,0,0,37
순천향대학교 부속 서울병원,서울특별시,용산구,종합병원,해당사항없음,서울특별시 용산구 대사관로 59 (한남동),68,55,0,13,4
한양대학교병원,서울특별시,성동구,상급종합병원,해당사항없음,서울특별시 성동구 왕십리로 222-1 (사근동),89,64,0,25,20
재단법인베스티안재단베스티안서울병원,서울특별시,성동구,종합병원,해당사항없음,서울특별시 성동구 왕십리로 382 (하왕십리동),5,5,0,0,0
서울효사랑요양병원,서울특별시,성동구,요양병원,해당사항없음,서울특별시 성동구 동일로 93 (성수동2가),0,0,0,0,115
건국대학교병원,서울특별시,광진구,상급종합병원,해당사항없음,서울특별시 광진구 능동로 120-1 (화양동),78,62,0,16,3
혜민병원,서울특별시,광진구,종합병원,해당사항없음,서울특별시 광진구 자양로 85 (자양동),19,19,0,0,0
편안한요양병원,서울특별시,광진구,요양병원,해당사항없음,"서울특별시 광진구 자양로 38, 편안한요양병원 (자양동)",0,0,0,0,4
국립정신건강센터,서울특별시,광진구,정신병원,해당사항없음,"서울특별시 광진구 용마산로 127 (중곡동, 국립정신건강센터)",0,0,0,0,43
경희대학교병원,서울특별시,동대문구,상급종합병원,해당사항없음,서울특별시 동대문구 경희대로 23 (회기동),106,88,0,18,19
서울특별시 동부병원,서울특별시,동대문구,종합병원,해당사항없음,서울특별시 동대문구 무학로 124 (용두동),9,9,0,0,6
삼육서울병원,서울특별시,동대문구,종합병원,해당사항없음,서울특별시 동대문구 망우로 82 (휘경동),22,18,0,4,4
서울성심병원,서울특별시,동대문구,종합병원,해당사항없음,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",11,11,0,0,1
서울탑병원,서울특별시,동대문구,병원,일반의,"서울특별시 동대문구 정릉천동로 102, 지하1층~지상4층 (제기동)",0,0,0,0,32
녹색병원,서울특별시,중랑구,종합병원,해당사항없음,서울특별시 중랑구 사가정로49길 53 (면목동),20,20,0,0,3
서울특별시서울의료원,서울특별시,중랑구,종합병원,해당사항없음,서울특별시 중랑구 신내로 156 (신내동),41,38,0,3,15
서울특별시 북부병원,서울특별시,중랑구,병원,일반의,서울특별시 중랑구 양원역로 38 (망우동),0,0,0,0,3
팔팔병원,서울특별시,중랑구,병원,일반의,"서울특별시 중랑구 동일로 679 (면목동, 88병원)",6,6,0,0,0
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),서울특별시,성북구,상급종합병원,해당사항없음,"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",91,71,0,20,14
성북서울요양병원,서울특별시,성북구,요양병원,해당사항없음,서울특별시 성북구 종암로 31 (종암동),0,0,0,0,1
의료법인성화의료재단  대한병원,서울특별시,강북구,종합병원,해당사항없음,"서울특별시 강북구 도봉로 301 (수유동, 대한병원)",15,15,0,0,1
서울현대병원,서울특별시,강북구,종합병원,해당사항없음,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",9,9,0,0,0
국립재활원,서울특별시,강북구,병원,재활의학과,"서울특별시 강북구 삼각산로 58 (수유동, 국립재활원)",0,0,0,0,1
신일병원,서울특별시,강북구,병원,일반의,서울특별시 강북구 덕릉로 73 (수유동),0,0,0,0,2
의료법인한전의료재단 한일병원,서울특별시,도봉구,종합병원,해당사항없음,"서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)",24,24,0,0,8
인제대학교 상계백병원,서울특별시,노원구,종합병원,해당사항없음,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",56,40,0,16,3
노원을지대학교병원,서울특별시,노원구,종합병원,해당사항없음,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",44,34,0,10,1
한국원자력의학원원자력병원,서울특별시,노원구,종합병원,해당사항없음,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",24,24,0,0,1
의료법인 행복나눔의료재단 사랑요양병원,서울특별시,노원구,요양병원,해당사항없음,"서울특별시 노원구 동일로243길 45 (상계동, 사랑요양병원)",0,0,0,0,18
더조은요양병원,서울특별시,노원구,요양병원,해당사항없음,서울특별시 노원구 화랑로 323 (월계동),0,0,0,0,108
그레이스힐 요양병원,서울특별시,노원구,요양병원,해당사항없음,"서울특별시 노원구 노원로 461, 대감프라자빌딩 3,4,5,6층 (상계동)",0,0,0,0,180
가톨릭대학교 은평성모병원,서울특별시,은평구,종합병원,해당사항없음,서울특별시 은평구 통일로 1021 (진관동),79,54,0,25,17
의료법인 청구성심병원,서울특별시,은평구,종합병원,해당사항없음,서울특별시 은평구 통일로 873 (갈현동),6,6,0,0,13
서울특별시서북병원,서울특별시,은평구,병원,일반의,서울특별시 은평구 갈현로7길 49 (역촌동),0,0,0,0,61
연세노블병원,서울특별시,은평구,병원,일반의,서울특별시 은평구 서오릉로 37 (녹번동),0,0,0,0,2
한국효요양병원,서울특별시,은평구,요양병원,해당사항없음,"서울특별시 은평구 은평로 170, 6층,7층,8층 (응암동, 상현빌딩동)",0,0,0,0,16
연세대학교의과대학세브란스병원,서울특별시,서대문구,상급종합병원,해당사항없음,서울특별시 서대문구 연세로 50-1 (신촌동),245,168,25,52,44
의료법인동신의료재단 동신병원,서울특별시,서대문구,종합병원,해당사항없음,"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",9,9,0,0,7
서울호흡안심병원,서울특별시,서대문구,병원,일반의,서울특별시 서대문구 세무서길 20 (홍제동),7,7,0,0,0
이화여자대학교의과대학부속목동병원,서울특별시,양천구,상급종합병원,해당사항없음,서울특별시 양천구 안양천로 1071 (목동),90,60,0,30,9
홍익병원,서울특별시,양천구,종합병원,해당사항없음,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",15,15,0,0,1
서울특별시서남병원,서울특별시,양천구,종합병원,해당사항없음,서울특별시 양천구 신정이펜1로 20 (신정동),18,18,0,0,4
서울스마트요양병원,서울특별시,양천구,요양병원,해당사항없음,"서울특별시 양천구 중앙로 181, 복합메디컬타운 3~8층 (신정동)",0,0,0,0,1
미즈메디병원,서울특별시,강서구,종합병원,해당사항없음,서울특별시 강서구 강서로 295 (내발산동),0,0,0,0,1
부민병원,서울특별시,강서구,종합병원,해당사항없음,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",15,15,0,0,3
우리들병원,서울특별시,강서구,종합병원,해당사항없음,서울특별시 강서구 하늘길 70 (과해동),0,0,0,0,1
이화여자대학교의과대학부속서울병원,서울특별시,강서구,종합병원,해당사항없음,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",116,92,0,24,6
강서푸른꿈성모어린이병원,서울특별시,강서구,병원,일반의,"서울특별시 강서구 공항대로41길 34, 플러스존 3,8,9층 (등촌동)",0,0,0,0,1
더서밋요양병원,서울특별시,강서구,요양병원,해당사항없음,"서울특별시 강서구 양천로 715, 지하3층~8층 (염창동)",0,0,0,0,1
고려대학교의과대학부속구로병원,서울특별시,구로구,상급종합병원,해당사항없음,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",118,95,0,23,8
구로성심병원,서울특별시,구로구,종합병원,해당사항없음,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",11,11,0,0,0
더세인트요양병원,서울특별시,구로구,요양병원,해당사항없음,"서울특별시 구로구 경인로 218, 더세인트빌딩 B1.B중,3~15층 (오류동)",0,0,0,0,1
의료법인 어울림의료재단 정성요양병원,서울특별시,구로구,요양병원,해당사항없음,"서울특별시 구로구 남부순환로107길 24, 정성요양병원 (가리봉동)",0,0,0,0,1
의료법인 미소들노인전문병원,서울특별시,구로구,요양병원,해당사항없음,"서울특별시 구로구 고척로21나길 88-41 (개봉동, 미소들병원)",0,0,0,0,1
서울브이아이피(VIP)요양병원,서울특별시,구로구,요양병원,해당사항없음,"서울특별시 구로구 경인로 297, 오류빌딩 (개봉동)",0,0,0,0,1
희명병원,서울특별시,금천구,종합병원,해당사항없음,서울특별시 금천구 시흥대로 244 (시흥동),19,19,0,0,0
새움병원,서울특별시,금천구,병원,일반의,"서울특별시 금천구 시흥대로139길 8, 새움병원 (독산동)",0,0,0,0,4
가톨릭대학교 여의도성모병원,서울특별시,영등포구,종합병원,해당사항없음,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",30,30,0,0,1
한림대학교 한강성심병원,서울특별시,영등포구,종합병원,해당사항없음,"서울특별시 영등포구 버드나루로7길 12 (영등포동7가, 한강성심병원)",12,12,0,0,2
한림대학교 강남성심병원,서울특별시,영등포구,종합병원,해당사항없음,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",75,62,0,13,3
성애의료재단 성애병원,서울특별시,영등포구,종합병원,해당사항없음,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",24,20,0,4,0
명지성모병원,서울특별시,영등포구,종합병원,해당사항없음,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",13,13,0,0,5
의료법인 인봉의료재단 영등포병원,서울특별시,영등포구,병원,일반의,서울특별시 영등포구 당산로31길 10 (당산동3가),14,14,0,0,0
신화요양병원,서울특별시,영등포구,요양병원,해당사항없음,서울특별시 영등포구 영중로 100 (영등포동7가),0,0,0,0,3
서울센트럴요양병원,서울특별시,영등포구,요양병원,해당사항없음,서울특별시 영등포구 경인로 767 (문래동3가),0,0,0,0,1
마리아성모요양병원,서울특별시,영등포구,요양병원,해당사항없음,"서울특별시 영등포구 영중로 122 (영등포동8가, 일이빌딩)",0,0,0,0,40
중앙대학교병원,서울특별시,동작구,상급종합병원,해당사항없음,서울특별시 동작구 흑석로 102 (흑석동),101,76,0,25,47
서울특별시보라매병원,서울특별시,동작구,종합병원,해당사항없음,서울특별시 동작구 보라매로5길 20 (신대방동),53,39,0,14,11
의료법인에이치엠피의료재단녹십초요양병원,서울특별시,동작구,요양병원,해당사항없음,서울특별시 동작구 시흥대로 634 (신대방동),0,0,0,0,4
의료법인서울효천의료재단 에이치플러스양지병원,서울특별시,관악구,종합병원,해당사항없음,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",21,21,0,0,5
강남고려병원,서울특별시,관악구,병원,일반의,서울특별시 관악구 관악로 242 (봉천동),5,5,0,0,0
학교법인가톨릭학원가톨릭대학교서울성모병원,서울특별시,서초구,상급종합병원,해당사항없음,서울특별시 서초구 반포대로 222 (반포동),159,104,5,50,10
연세대학교의과대학 강남세브란스병원,서울특별시,강남구,상급종합병원,해당사항없음,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",77,49,0,28,21
삼성서울병원,서울특별시,강남구,상급종합병원,해당사항없음,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",229,141,29,59,21
차의과학대학교 강남차병원,서울특별시,강남구,종합병원,해당사항없음,"서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)",30,0,0,30,1
강남베드로병원,서울특별시,강남구,종합병원,해당사항없음,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",0,0,0,0,15
강남구립행복요양병원,서울특별시,강남구,요양병원,해당사항없음,"서울특별시 강남구 헌릉로590길 60 (세곡동, 강남구립 행복요양병원)",0,0,0,0,2
재단법인아산사회복지재단 서울아산병원,서울특별시,송파구,상급종합병원,해당사항없음,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",281,189,30,62,14
경찰병원,서울특별시,송파구,종합병원,해당사항없음,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",16,16,0,0,3
한국보훈복지의료공단 중앙보훈병원,서울특별시,강동구,종합병원,해당사항없음,서울특별시 강동구 진황도로61길 53 (둔촌동),54,54,0,0,28
성심의료재단강동성심병원,서울특별시,강동구,종합병원,해당사항없음,서울특별시 강동구 성안로 150 (길동),49,46,0,3,32
강동경희대학교병원,서울특별시,강동구,종합병원,해당사항없음,서울특별시 강동구 동남로 892 (상일동),64,47,0,17,7
강동아너스힐병원,서울특별시,강동구,병원,일반의,"서울특별시 강동구 양재대로 1463, 5~15층 (길동)",0,0,0,0,248
한국보훈복지의료공단 서울요양병원,서울특별시,강동구,요양병원,해당사항없음,"서울특별시 강동구 진황도로61길 53, 서울요양병원 (둔촌동)",0,0,0,0,1
강동성모요양병원,서울특별시,강동구,요양병원,해당사항없음,"서울특별시 강동구 올림픽로80길 31, 로뎀빌딩 (천호동)",0,0,0,0,1
서울현대요양병원,서울특별시,강동구,요양병원,해당사항없음,"서울특별시 강동구 올림픽로 684, 서울현대요양병원 (천호동)",0,0,0,0,24
서울숲요양병원,서울특별시,강동구,요양병원,해당사항없음,"서울특별시 강동구 고덕로 295-60, 원케어메디컬타운 (고덕동)",0,0,0,0,1
재단법인천주교부산교구유지재단 메리놀병원,부산광역시,중구,종합병원,해당사항없음,부산광역시 중구 중구로 121 (대청동4가),19,19,0,0,4
의료법인나라의료재단중앙나라요양병원,부산광역시,중구,요양병원,해당사항없음,부산광역시 중구 중앙대로 69 (중앙동3가),0,0,0,0,1
의료법인연송의료재단 신창요양병원,부산광역시,중구,요양병원,해당사항없음,부산광역시 중구 중앙대로 55 (중앙동2가),0,0,0,0,1
부산대학교병원,부산광역시,서구,상급종합병원,해당사항없음,부산광역시 서구 구덕로 179 (아미동1가),136,116,0,20,28
고신대학교복음병원,부산광역시,서구,상급종합병원,해당사항없음,부산광역시 서구 감천로 262 (암남동),95,77,0,18,10
동아대학교병원,부산광역시,서구,상급종합병원,해당사항없음,부산광역시 서구 대신공원로 26 (동대신동3가),119,99,0,20,4
삼육부산병원,부산광역시,서구,종합병원,해당사항없음,부산광역시 서구 대티로 170 (서대신동2가),15,15,0,0,11
송도요양병원,부산광역시,서구,요양병원,해당사항없음,부산광역시 서구 암남공원로 522 (암남동),0,0,0,0,1
재단법인일신기독교선교회 일신기독병원,부산광역시,동구,종합병원,해당사항없음,부산광역시 동구 정공단로 27 (좌천동),12,0,0,12,0
의료법인정화의료재단 봉생기념병원,부산광역시,동구,종합병원,해당사항없음,"부산광역시 동구 중앙대로 401 (좌천동, 봉생병원)",22,22,0,0,1
좋은문화병원,부산광역시,동구,종합병원,해당사항없음,부산광역시 동구 범일로 119 (범일동),18,8,0,10,1
의료법인은경의료재단 인창요양병원,부산광역시,동구,요양병원,해당사항없음,부산광역시 동구 중앙대로 281 (초량동),0,0,0,0,1
의료법인나라의료재단 부산나라요양병원,부산광역시,동구,요양병원,해당사항없음,부산광역시 동구 중앙대로 421(좌천동),0,0,0,0,1
영도병원,부산광역시,영도구,종합병원,해당사항없음,부산광역시 영도구 태종로 85 (대교동2가),10,10,0,0,1
의료법인 행도의료재단 해동병원,부산광역시,영도구,종합병원,해당사항없음,부산광역시 영도구 태종로 133 (봉래동3가),9,9,0,0,2
의료법인 성원의료재단 영도참편한 요양병원,부산광역시,영도구,요양병원,해당사항없음,"부산광역시 영도구 동삼서로 21 (동삼동, 영도참편한요양병원)",0,0,0,0,1
정요양병원,부산광역시,영도구,요양병원,해당사항없음,부산광역시 영도구 절영로 32 (대교동1가),0,0,0,0,1
