시설명,장애유형,장애종류,장애명
서울시설공단,없음,없음,없음
서울시설공단,외국인,외국인,외국인
서울시설공단,해당안됨,해당안됨,해당안됨
서울시설공단,지체,지체-모름,지체모름
서울시설공단,뇌병,뇌병-모름,뇌병모름
서울시설공단,시각,시각-모름,시각모름
서울시설공단,청각,청각-모름,청각모름
서울시설공단,지적,지적-모름,지적모름
서울시설공단,자폐,자폐-모름,자폐모름
서울시설공단,정신,정신-모름,정신모름
서울시설공단,신장,신장-모름,신장모름
서울시설공단,심장,심장-모름,심장모름
서울시설공단,호흡,호흡-모름,호흡모름
서울시설공단,간장,간장-모름,간장모름
서울시설공단,안면,안면-모름,안면모름
서울시설공단,장루요루,장루요루-모름,장요모름
서울시설공단,뇌전증장애,뇌전증장애-모름,뇌전모름
서울시설공단,복합장애,복합장애-모름,복합모름
서울시설공단,국가유공자,국가유공자-모름,유공모름
서울시설공단,언어장애,언어장애-모름,언어모름
서울시설공단,뇌전장애,뇌전장애-1급,뇌전1급
서울시설공단,지체,지체-중증,지체중증
서울시설공단,뇌병,뇌병-중증,뇌병중증
서울시설공단,시각,시각-중증,시각중증
서울시설공단,청각,청각-중증,청각중증
서울시설공단,지적,지적-중증,지적중증
서울시설공단,자폐,자폐-중증,자폐중증
서울시설공단,정신,정신-중증,정신중증
서울시설공단,신장,신장-중증,신장중증
서울시설공단,심장,심장-중증,심장중증
서울시설공단,호흡,호흡-중증,호흡중증
서울시설공단,간장,간장-중증,간장중증
서울시설공단,안면,안면-중증,안면중증
서울시설공단,장루요루,장루요루-중증,장요중증
서울시설공단,뇌전증장애,뇌전증장애-중증,뇌전중증
서울시설공단,복합장애,복합장애-중증,복합중증
서울시설공단,국가유공자,국가유공자-중증,유공중증
서울시설공단,언어장애,언어장애-중증,언어중증
서울시설공단,지체,지체-경증,지체경증
서울시설공단,뇌병,뇌병-경증,뇌병경증
서울시설공단,시각,시각-경증,시각경증
서울시설공단,청각,청각-경증,청각경증
서울시설공단,지적,지적-경증,지적경증
서울시설공단,자폐,자폐-경증,자폐경증
서울시설공단,정신,정신-경증,정신경증
서울시설공단,신장,신장-경증,신장경증
서울시설공단,심장,심장-경증,심장경증
서울시설공단,호흡,호흡-경증,호흡경증
서울시설공단,간장,간장-경증,간장경증
서울시설공단,안면,안면-경증,안면경증
서울시설공단,장루요루,장루요루-경증,장요경증
서울시설공단,뇌전증장애,뇌전증장애-경증,뇌전경증
서울시설공단,복합장애,복합장애-경증,복합경증
서울시설공단,국가유공자,국가유공자-경증,유공경증
서울시설공단,언어장애,언어장애-경증,언어경증
서울시설공단,일시적장애,일시적장애,일시장애
서울시설공단,서류심사중,서류심사중,서류심사
