연번,시설명,센터명,정비제목,사용유무,등록일,정렬순서
1,서울시설공단,이동지원센터,휠체어 리프트 점검,1,2010-07-02 16:54:00,11
2,서울시설공단,이동지원센터,휠체어 슬로프 점검,1,2010-07-02 16:54:00,12
3,서울시설공단,이동지원센터,엔진오일 교환,1,2010-07-02 16:54:00,1
4,서울시설공단,이동지원센터,타이어 펑크,1,2010-07-02 16:55:00,4
6,서울시설공단,이동지원센터,요금표시기 점검,1,2010-07-02 16:56:00,19
7,서울시설공단,이동지원센터,택시미터기 점검,1,2010-07-02 16:57:00,17
8,서울시설공단,이동지원센터,내비게이션 점검,1,2010-07-02 16:57:00,15
9,서울시설공단,이동지원센터,무전전화(TRS) 점검,1,2010-07-02 16:57:00,16
14,서울시설공단,이동지원센터,기타정비,1,2010-07-02 17:25:00,7
16,서울시설공단,이동지원센터,카드결제기 점검,1,2011-01-28 14:32:00,18
17,서울시설공단,이동지원센터,차량정기검사,1,2011-03-17 16:12:00,6
18,서울시설공단,이동지원센터,기타업무처리,1,2011-03-17 16:29:00,20
19,서울시설공단,이동지원센터,블랙박스,1,2011-03-17 16:30:00,14
20,서울시설공단,이동지원센터,차량사고,1,2011-03-17 16:31:00,8
44,서울시설공단,이동지원센터,엔진 경고등 점검,1,2021-01-28 17:01:00,2
45,서울시설공단,이동지원센터,등화류 점검,1,2021-01-28 17:02:00,3
46,서울시설공단,이동지원센터,타이어 교환,1,2021-01-28 17:04:00,5
47,서울시설공단,이동지원센터,긴급출동,1,2021-01-28 17:04:00,9
48,서울시설공단,이동지원센터,특장 기타부분 점검,1,2021-01-28 17:05:00,13
49,서울시설공단,이동지원센터,세차(분기),1,2021-01-28 17:06:00,10
50,서울시설공단,이동지원센터,행정콜,1,2023-05-24 09:52:00,21
